Keyword,Parameter,Code
flood,gage_height_ft,"""00065"""
flooding,gage_height_ft,"""00065"""
height,gage_height_ft,"""00065"""
stream height,gage_height_ft,"""00065"""
water level,gage_height_ft,"""00065"""
water levels,gage_height_ft,"""00065"""
warm,air_temperature_degF,"""00021"""
cold,air_temperature_degF,"""00021"""
weather,air_temperature_degF,"""00021"""
temperature,air_temperature_degF,"""00021"""
air temperature,air_temperature_degF,"""00021"""
water quality,dissolved_oxygen_mg/L,"""00300"""
quality,dissolved_oxygen_mg/L,"""00300"""
dissolved oxygen,dissolved_oxygen_mg/L,"""00300"""
pollution,dissolved_oxygen_mg/L,"""00300"""
windy,wind_speed_mph,"""00035"""
wind,wind_speed_mph,"""00035"""
tornado,wind_speed_mph,"""00035"""
hurricane,wind_speed_mph,"""00035"""
rainfall,precipitation_in,"""00045"""
precipitation,precipitation_in,"""00045"""
rainy,precipitation_in,"""00045"""
rained,precipitation_in,"""00045"""
rain,precipitation_in,"""00045"""
raining,precipitation_in,"""00045"""
streamflow,streamflow_cfs,"""00060"""
stream flow,streamflow_cfs,"""00060"""
discharge,streamflow_cfs,"""00060"""
